libxfixes 6.0.1-1
libxfont2 2.0.6-2
libxft 2.3.8-1
libxi 1.8.1-1
libxinerama 1.1.5-1
libxkbcommon 1.7.0-2
libxkbcommon-x11 1.7.0-2
libxkbfile 1.1.3-1
libxml2 2.12.6-1
libxmlb 0.3.19-1
libxmu 1.2.1-1
libxnvctrl 550.67-1
libxpm 3.5.17-1
libxrandr 1.5.4-1
libxrender 0.9.11-1
libxres 1.2.2-1
libxshmfence 1.3.2-1
libxslt 1.1.39-1
libxss 1.2.4-1
libxt 1.3.0-1
libxtst 1.2.4-1
libxv 1.0.12-1
libxvmc 1.0.14-1
libxxf86vm 1.1.5-1
libyaml 0.2.5-2
libyuv r2426+464c51a0-1
libzip 1.10.1-1
licenses 20240206-1
lilv 0.24.24-1
linux-api-headers 6.7-1
linux-firmware 20240409.1addd7dc-1
linux-firmware-bnx2x 20240409.1addd7dc-1
linux-firmware-liquidio 20240409.1addd7dc-1
linux-firmware-mellanox 20240409.1addd7dc-1
linux-firmware-nfp 20240409.1addd7dc-1
linux-firmware-qlogic 20240409.1addd7dc-1
linux-firmware-whence 20240409.1addd7dc-1
linux-nitrous 6.8.7-1
linux-nitrous-headers 6.8.7-1
linuxqq 3:3.2.7_23159-1
lirc 1:0.10.2-3
litehtml 0.9-1
live-media 2023.01.19-1
lld 17.0.6-1
llvm 17.0.6-2
llvm-libs 17.0.6-2
lm_sensors 1:3.6.0.r41.g31d1f125-2
lmdb 0.9.32-1
lolcat 100.0.1-1
lrzip 0.651-2
lsb-release 2.0.r53.a86f885-1
lsof 4.99.3-2
lsscsi 0.32-1
lua 5.4.6-3
lua52 5.2.4-6
luit 20240102-1
lutris 0.5.17-1
lv2 1.18.10-1
lvm2 2.03.23-3
lxc 1:6.0.0-1
lz4 1:1.9.4-3
lzo 2.10-5
